lat	lon	title	description	iconSize	incoOffset	icon
37.3923176046	-6.00269932711	Prueba	Punto 26	21,25	-10,-25	autobus.gif
37.3917233302	-6.00232816252	Prueba	Punto 27	21,25	-10,-25	autobus.gif
37.3912804858	-6.00211444522	Prueba	Punto 28	21,25	-10,-25	autobus.gif
37.3908180954	-6.00187207101	Prueba	Punto 29	21,25	-10,-25	autobus.gif
37.390233717	-6.00155460427	Prueba	Punto 30	21,25	-10,-25	autobus.gif
37.3898254569	-6.00139821104	Prueba	Punto 31	21,25	-10,-25	autobus.gif
37.3894360259	-6.00129868179	Prueba	Punto 32	21,25	-10,-25	autobus.gif
37.3892224775	-6.00092614724	Prueba	Punto 33	21,25	-10,-25	autobus.gif
37.3892829905	-6.00014001138	Prueba	Punto 34	21,25	-10,-25	autobus.gif
37.3889167957	-6.00001247882	Prueba	Punto 35	21,25	-10,-25	autobus.gif
37.3882248708	-5.99922828057	Prueba	Punto 36	21,25	-10,-25	autobus.gif
37.3868832067	-5.99777223938	Prueba	Punto 37	21,25	-10,-25	autobus.gif
37.3866641805	-5.99752637187	Prueba	Punto 38	21,25	-10,-25	autobus.gif
37.386357397	-5.997187906	Prueba	Punto 39	21,25	-10,-25	autobus.gif
37.385657625	-5.99635704521	Prueba	Punto 40	21,25	-10,-25	autobus.gif
37.3849402412	-5.99550979587	Prueba	Punto 41	21,25	-10,-25	autobus.gif
37.3846259108	-5.99511335059	Prueba	Punto 42	21,25	-10,-25	autobus.gif
37.3840979999	-5.99461136655	Prueba	Punto 43	21,25	-10,-25	autobus.gif
37.3836027516	-5.99424266363	Prueba	Punto 44	21,25	-10,-25	autobus.gif
37.38317208	-5.99381460689	Prueba	Punto 45	21,25	-10,-25	autobus.gif
37.3827448083	-5.99360793845	Prueba	Punto 46	21,25	-10,-25	autobus.gif
37.3823470591	-5.99330293896	Prueba	Punto 47	21,25	-10,-25	autobus.gif
37.3817807624	-5.99289314207	Prueba	Punto 48	21,25	-10,-25	autobus.gif
37.3793301063	-5.99146100337	Prueba	Punto 49	21,25	-10,-25	autobus.gif
37.3803044925	-5.9910560249	Prueba	Punto 50	21,25	-10,-25	autobus.gif
37.3816605111	-5.99052506083	Prueba	Punto 51	21,25	-10,-25	autobus.gif
37.3814376528	-5.98971785324	Prueba	Punto 52	21,25	-10,-25	autobus.gif
37.381074856	-5.98838691616	Prueba	Punto 53	21,25	-10,-25	autobus.gif
37.3810303756	-5.98818613647	Prueba	Punto 54	21,25	-10,-25	autobus.gif
37.3811824049	-5.98805350001	Prueba	Punto 55	21,25	-10,-25	autobus.gif
37.3817009985	-5.98785620219	Prueba	Punto 56	21,25	-10,-25	autobus.gif
37.3823303515	-5.98755479371	Prueba	Punto 57	21,25	-10,-25	autobus.gif
37.382651507	-5.98741510744	Prueba	Punto 58	21,25	-10,-25	autobus.gif
37.3826495998	-5.9874014463	Prueba	Punto 59	21,25	-10,-25	autobus.gif
37.3826499697	-5.98738681698	Prueba	Punto 60	21,25	-10,-25	autobus.gif
37.382641338	-5.98737183024	Prueba	Punto 61	21,25	-10,-25	autobus.gif
37.3826417079	-5.98735720091	Prueba	Punto 62	21,25	-10,-25	autobus.gif
37.382642109	-5.98734133779	Prueba	Punto 63	21,25	-10,-25	autobus.gif
37.3826424788	-5.98732670847	Prueba	Punto 64	21,25	-10,-25	autobus.gif
37.3826428487	-5.98731207915	Prueba	Punto 65	21,25	-10,-25	autobus.gif
37.3826432186	-5.98729744983	Prueba	Punto 66	21,25	-10,-25	autobus.gif
37.3826436197	-5.9872815867	Prueba	Punto 67	21,25	-10,-25	autobus.gif
37.3826527906	-5.98727524635	Prueba	Punto 68	21,25	-10,-25	autobus.gif
37.3826531649	-5.98726044077	Prueba	Punto 69	21,25	-10,-25	autobus.gif
37.3826537041	-5.98723911368	Prueba	Punto 70	21,25	-10,-25	autobus.gif
37.3826628795	-5.98723259706	Prueba	Punto 71	21,25	-10,-25	autobus.gif
37.3826632181	-5.98721920153	Prueba	Punto 72	21,25	-10,-25	autobus.gif
37.3826724202	-5.98721162736	Prueba	Punto 73	21,25	-10,-25	autobus.gif
37.382672906	-5.98719241535	Prueba	Punto 74	21,25	-10,-25	autobus.gif
37.3826820501	-5.98718713252	Prueba	Punto 75	21,25	-10,-25	autobus.gif
37.3826913636	-5.98717515192	Prueba	Punto 76	21,25	-10,-25	autobus.gif
37.38269168	-5.98716263768	Prueba	Punto 77	21,25	-10,-25	autobus.gif
37.3827008242	-5.98715735484	Prueba	Punto 78	21,25	-10,-25	autobus.gif
37.3827101109	-5.98714643178	Prueba	Punto 79	21,25	-10,-25	autobus.gif
37.3827193665	-5.98713674252	Prueba	Punto 80	21,25	-10,-25	autobus.gif
37.3827287424	-5.98712229431	Prueba	Punto 81	21,25	-10,-25	autobus.gif
37.38273794	-5.98711489638	Prueba	Punto 82	21,25	-10,-25	autobus.gif
37.3827470574	-5.98711067108	Prueba	Punto 83	21,25	-10,-25	autobus.gif
37.3827562595	-5.9871030969	Prueba	Punto 84	21,25	-10,-25	autobus.gif
37.3827654304	-5.98709675651	Prueba	Punto 85	21,25	-10,-25	autobus.gif
37.3827744899	-5.98709482255	Prueba	Punto 86	21,25	-10,-25	autobus.gif
37.382783634	-5.9870895397	Prueba	Punto 87	21,25	-10,-25	autobus.gif
37.3827927782	-5.98708425685	Prueba	Punto 88	21,25	-10,-25	autobus.gif
37.3828018377	-5.98708232289	Prueba	Punto 89	21,25	-10,-25	autobus.gif
37.382810866	-5.98708162273	Prueba	Punto 90	21,25	-10,-25	autobus.gif
37.3828199522	-5.98707863123	Prueba	Punto 91	21,25	-10,-25	autobus.gif
37.382828985	-5.98707775481	Prueba	Punto 92	21,25	-10,-25	autobus.gif
37.3828380445	-5.98707582085	Prueba	Punto 93	21,25	-10,-25	autobus.gif
37.3828470728	-5.98707512069	Prueba	Punto 94	21,25	-10,-25	autobus.gif
37.3828560743	-5.98707547807	Prueba	Punto 95	21,25	-10,-25	autobus.gif
37.3828740507	-5.98707725039	Prueba	Punto 96	21,25	-10,-25	autobus.gif
37.3828830211	-5.98707884157	Prueba	Punto 97	21,25	-10,-25	autobus.gif
37.3828919959	-5.9870802565	Prueba	Punto 98	21,25	-10,-25	autobus.gif
37.3829009128	-5.98708396278	Prueba	Punto 99	21,25	-10,-25	autobus.gif
37.3829098565	-5.98708661152	Prueba	Punto 100	21,25	-10,-25	autobus.gif
37.3829187422	-5.9870915516	Prueba	Punto 101	21,25	-10,-25	autobus.gif
37.3829276858	-5.98709420034	Prueba	Punto 102	21,25	-10,-25	autobus.gif
37.3829365448	-5.98710019797	Prueba	Punto 103	21,25	-10,-25	autobus.gif
37.3829454038	-5.9871061956	Prueba	Punto 104	21,25	-10,-25	autobus.gif
37.3829543207	-5.98710990189	Prueba	Punto 105	21,25	-10,-25	autobus.gif
37.3829631217	-5.98711819087	Prueba	Punto 106	21,25	-10,-25	autobus.gif
37.3829719272	-5.9871263036	Prueba	Punto 107	21,25	-10,-25	autobus.gif
37.3829806971	-5.98713582639	Prueba	Punto 108	21,25	-10,-25	autobus.gif
37.3829894714	-5.98714517293	Prueba	Punto 109	21,25	-10,-25	autobus.gif
37.3829981877	-5.98715681082	Prueba	Punto 110	21,25	-10,-25	autobus.gif
37.3830069353	-5.98716721491	Prueba	Punto 111	21,25	-10,-25	autobus.gif
37.3830157943	-5.98717321256	Prueba	Punto 112	21,25	-10,-25	autobus.gif
37.3830154779	-5.98718572686	Prueba	Punto 113	21,25	-10,-25	autobus.gif
37.3830241943	-5.98719736476	Prueba	Punto 114	21,25	-10,-25	autobus.gif
37.3830330265	-5.98720441996	Prueba	Punto 115	21,25	-10,-25	autobus.gif
37.3830326833	-5.98721799181	Prueba	Punto 116	21,25	-10,-25	autobus.gif
37.3830415423	-5.98722398947	Prueba	Punto 117	21,25	-10,-25	autobus.gif
37.3830411992	-5.98723756132	Prueba	Punto 118	21,25	-10,-25	autobus.gif
37.383844829	-5.98681443979	Prueba	Punto 119	21,25	-10,-25	autobus.gif
37.3844025371	-5.98649552666	Prueba	Punto 120	21,25	-10,-25	autobus.gif
37.383844829	-5.98681443979	Prueba	Punto 121	21,25	-10,-25	autobus.gif
37.3844025371	-5.98649552666	Prueba	Punto 122	21,25	-10,-25	autobus.gif
37.3849417558	-5.98619510703	Prueba	Punto 123	21,25	-10,-25	autobus.gif
37.3859559821	-5.98563917001	Prueba	Punto 124	21,25	-10,-25	autobus.gif
37.3864289679	-5.98546367845	Prueba	Punto 125	21,25	-10,-25	autobus.gif
37.38689529	-5.98519528737	Prueba	Punto 126	21,25	-10,-25	autobus.gif
37.3873874452	-5.98497432325	Prueba	Punto 127	21,25	-10,-25	autobus.gif
37.3877079734	-5.98477019028	Prueba	Punto 128	21,25	-10,-25	autobus.gif
37.3879636913	-5.98463476858	Prueba	Punto 129	21,25	-10,-25	autobus.gif
37.3881374864	-5.98453209082	Prueba	Punto 130	21,25	-10,-25	autobus.gif
37.3883478578	-5.98440827851	Prueba	Punto 131	21,25	-10,-25	autobus.gif
37.3886766744	-5.98423270129	Prueba	Punto 132	21,25	-10,-25	autobus.gif
37.3889689413	-5.98407719941	Prueba	Punto 133	21,25	-10,-25	autobus.gif
37.3893689999	-5.98393497141	Prueba	Punto 134	21,25	-10,-25	autobus.gif
37.389532965	-5.9838647201	Prueba	Punto 135	21,25	-10,-25	autobus.gif
37.3896514413	-5.98381172068	Prueba	Punto 136	21,25	-10,-25	autobus.gif
37.3902354042	-5.98352327215	Prueba	Punto 137	21,25	-10,-25	autobus.gif
37.3907975507	-5.98329588918	Prueba	Punto 138	21,25	-10,-25	autobus.gif
37.3908814608	-5.98327363162	Prueba	Punto 139	21,25	-10,-25	autobus.gif
37.3912958541	-5.98327736331	Prueba	Punto 140	21,25	-10,-25	autobus.gif
37.3916866523	-5.98314499457	Prueba	Punto 141	21,25	-10,-25	autobus.gif
37.3919853025	-5.98309349227	Prueba	Punto 142	21,25	-10,-25	autobus.gif
37.3922021106	-5.9830715645	Prueba	Punto 143	21,25	-10,-25	autobus.gif
37.3925717987	-5.98306152339	Prueba	Punto 144	21,25	-10,-25	autobus.gif
37.3927247989	-5.9830686506	Prueba	Punto 145	21,25	-10,-25	autobus.gif
37.3931030346	-5.98307694739	Prueba	Punto 146	21,25	-10,-25	autobus.gif
37.3933736251	-5.98306615212	Prueba	Punto 147	21,25	-10,-25	autobus.gif
37.3935540262	-5.98305866147	Prueba	Punto 148	21,25	-10,-25	autobus.gif
37.3937433754	-5.98305364325	Prueba	Punto 149	21,25	-10,-25	autobus.gif
37.3939417485	-5.98304810067	Prueba	Punto 150	21,25	-10,-25	autobus.gif
37.394185361	-5.98303517653	Prueba	Punto 151	21,25	-10,-25	autobus.gif
37.3944568061	-5.98299053445	Prueba	Punto 152	21,25	-10,-25	autobus.gif
37.3947570764	-5.98287486229	Prueba	Punto 153	21,25	-10,-25	autobus.gif
37.3954727591	-5.98272255003	Prueba	Punto 154	21,25	-10,-25	autobus.gif
37.3958373532	-5.98255736949	Prueba	Punto 155	21,25	-10,-25	autobus.gif
37.396293129	-5.98234956953	Prueba	Punto 156	21,25	-10,-25	autobus.gif
37.3964593718	-5.98218904874	Prueba	Punto 157	21,25	-10,-25	autobus.gif
37.3971107882	-5.98172694807	Prueba	Punto 158	21,25	-10,-25	autobus.gif
37.3975690409	-5.9814209449	Prueba	Punto 159	21,25	-10,-25	autobus.gif
37.3978167508	-5.98124564944	Prueba	Punto 160	21,25	-10,-25	autobus.gif
37.3986244383	-5.98066090335	Prueba	Punto 161	21,25	-10,-25	autobus.gif
37.3992210705	-5.9802271357	Prueba	Punto 162	21,25	-10,-25	autobus.gif
37.3996585329	-5.98038794811	Prueba	Punto 163	21,25	-10,-25	autobus.gif
37.3998806683	-5.98051199103	Prueba	Punto 164	21,25	-10,-25	autobus.gif
37.4001454762	-5.98073037585	Prueba	Punto 165	21,25	-10,-25	autobus.gif
37.4004564037	-5.98090647173	Prueba	Punto 166	21,25	-10,-25	autobus.gif
37.400560241	-5.98107647611	Prueba	Punto 167	21,25	-10,-25	autobus.gif
37.4007420401	-5.98137063518	Prueba	Punto 168	21,25	-10,-25	autobus.gif
37.400888148	-5.98165085044	Prueba	Punto 169	21,25	-10,-25	autobus.gif
37.4009901285	-5.9818943742	Prueba	Punto 170	21,25	-10,-25	autobus.gif
37.401154523	-5.98216402215	Prueba	Punto 171	21,25	-10,-25	autobus.gif
37.4012653348	-5.98241460394	Prueba	Punto 172	21,25	-10,-25	autobus.gif
37.4014278718	-5.98275777176	Prueba	Punto 173	21,25	-10,-25	autobus.gif
37.40159238	-5.98302283925	Prueba	Punto 174	21,25	-10,-25	autobus.gif
37.4017831755	-5.98331736409	Prueba	Punto 175	21,25	-10,-25	autobus.gif
37.4020026	-5.98354861153	Prueba	Punto 176	21,25	-10,-25	autobus.gif
37.4022490599	-5.98377969793	Prueba	Punto 177	21,25	-10,-25	autobus.gif
37.402434361	-5.9839349426	Prueba	Punto 178	21,25	-10,-25	autobus.gif
37.4027890614	-5.98416150393	Prueba	Punto 179	21,25	-10,-25	autobus.gif
37.4029754174	-5.98427496643	Prueba	Punto 180	21,25	-10,-25	autobus.gif
37.4032401594	-5.98449566576	Prueba	Punto 181	21,25	-10,-25	autobus.gif
37.4034531188	-5.98462606944	Prueba	Punto 182	21,25	-10,-25	autobus.gif
37.4035593155	-5.98470246702	Prueba	Punto 183	21,25	-10,-25	autobus.gif
37.4036386189	-5.98477338502	Prueba	Punto 184	21,25	-10,-25	autobus.gif
37.4037433009	-5.98490972729	Prueba	Punto 185	21,25	-10,-25	autobus.gif
37.4039790141	-5.98520940241	Prueba	Punto 186	21,25	-10,-25	autobus.gif
37.4042031316	-5.98561133301	Prueba	Punto 187	21,25	-10,-25	autobus.gif
37.4044000691	-5.98601906936	Prueba	Punto 188	21,25	-10,-25	autobus.gif
37.4045626571	-5.98635979073	Prueba	Punto 189	21,25	-10,-25	autobus.gif
37.4046798351	-5.9867145932	Prueba	Punto 190	21,25	-10,-25	autobus.gif
37.4047548843	-5.98695371294	Prueba	Punto 191	21,25	-10,-25	autobus.gif
37.4048001062	-5.98730336356	Prueba	Punto 192	21,25	-10,-25	autobus.gif
37.4048379798	-5.98758724622	Prueba	Punto 193	21,25	-10,-25	autobus.gif
37.4048873179	-5.98813031348	Prueba	Punto 194	21,25	-10,-25	autobus.gif
37.4049273978	-5.98868307303	Prueba	Punto 195	21,25	-10,-25	autobus.gif
37.4049759388	-5.98961349723	Prueba	Punto 196	21,25	-10,-25	autobus.gif
37.4050022929	-5.98999628521	Prueba	Punto 197	21,25	-10,-25	autobus.gif
37.4050021544	-5.99035772368	Prueba	Punto 198	21,25	-10,-25	autobus.gif
37.4050391368	-5.99067651729	Prueba	Punto 199	21,25	-10,-25	autobus.gif
37.4050683712	-5.99094541025	Prueba	Punto 200	21,25	-10,-25	autobus.gif
37.4051637013	-5.99145077813	Prueba	Punto 201	21,25	-10,-25	autobus.gif
37.4052241129	-5.99191169472	Prueba	Punto 202	21,25	-10,-25	autobus.gif
37.4052603183	-5.99226099123	Prueba	Punto 203	21,25	-10,-25	autobus.gif
37.4054174547	-5.99246049937	Prueba	Punto 204	21,25	-10,-25	autobus.gif
37.4055037253	-5.99314535132	Prueba	Punto 205	21,25	-10,-25	autobus.gif
37.4053988429	-5.99390624694	Prueba	Punto 206	21,25	-10,-25	autobus.gif
37.405286437	-5.99407508034	Prueba	Punto 207	21,25	-10,-25	autobus.gif
37.4051003478	-5.99430698433	Prueba	Punto 208	21,25	-10,-25	autobus.gif
37.4040500083	-5.9952195743	Prueba	Punto 209	21,25	-10,-25	autobus.gif
37.4029403863	-5.99633767184	Prueba	Punto 210	21,25	-10,-25	autobus.gif
